Med,Baltic,RR,Ori Ave,Vermont,Connecticut,Charles Place,EE,States Ave,Virginia,Penn Rail,St. James,Tenn Ave,NY Ave,Ken Ave,Indiana,Illinois,B&O Rail,Atlantic Ave,Ventnor Ave,WW,Marvin Gardins,Pacific Ave,NC Ave,Penn Ave,Short Line,Park Place,Boardwalk
1.0266666666666668,1.8066666666666666,2.855,1.9728000000000006,2.04,1.9933333333333336,2.061428571428572,0.21973333333333334,2.214285714285714,2.3025,2.78,2.551111111111111,2.7611111111111115,2.8256,3.465818181818183,2.8472727272727267,3.0999999999999996,2.355,3.071538461538461,2.8176923076923073,0.23146666666666668,2.742857142857143,2.8339999999999996,2.6693333333333333,2.7375,2.4,3.13,3.17
0.9633333333333332,2.1200000000000006,2.23,1.957200000000001,1.926,2.2733333333333334,2.7128571428571426,0.18426666666666666,2.064285714285715,2.1375,2.645,2.776666666666667,2.9011111111111108,2.8864000000000005,3.0289090909090914,2.83090909090909,2.9,2.645,3.029230769230769,2.8092307692307696,0.20053333333333337,2.8971428571428572,2.825333333333333,2.5826666666666664,3.28125,2.11,3.09,3.06
0.9499999999999998,1.953333333333333,2.51,2.3364000000000003,2.0640000000000005,2.313333333333333,2.668571428571429,0.18986666666666666,2.1642857142857137,2.2425,2.42,2.3488888888888892,2.9477777777777785,3.0032,2.711454545454545,2.945454545454546,2.9750000000000005,2.75,2.7838461538461523,2.851538461538463,0.20800000000000007,2.657142857142857,3.0506666666666664,2.426666666666666,2.915625,2.25,3.16,3.46
0.9499999999999998,1.6933333333333331,2.525,2.2727999999999997,2.25,2.0200000000000005,2.4171428571428577,0.2232,1.9571428571428573,2.3325,2.59,2.6366666666666676,2.69888888888889,2.832,3.4330909090909074,2.6509090909090913,2.808333333333333,2.575,3.240769230769231,3.1053846153846147,0.21466666666666664,2.8114285714285705,2.7906666666666666,2.643333333333333,3.009375,2.495,3.18,2.97
0.8833333333333333,1.9400000000000004,2.88,1.8743999999999996,2.016,2.1133333333333337,2.3471428571428574,0.20933333333333337,2.3,2.25,2.515,2.7533333333333343,2.7611111111111115,3.024000000000001,2.8030909090909093,2.953636363636363,3.033333333333333,3.03,3.0207692307692313,2.8007692307692302,0.19413333333333335,2.571428571428571,2.7733333333333325,2.8513333333333333,3.084375,2.38,3.33,2.98
1.11,1.7733333333333332,2.98,2.0436000000000005,1.9919999999999995,2.226666666666666,2.3642857142857143,0.19999999999999996,2.1214285714285714,2.2725,2.54,2.776666666666667,2.7144444444444447,2.684800000000001,2.942181818181817,2.9127272727272726,2.7416666666666663,2.825,3.1730769230769234,2.9446153846153846,0.22266666666666673,2.5799999999999996,2.634666666666666,2.7993333333333332,2.90625,2.53,2.91,3.31
0.9866666666666667,1.8533333333333328,3.07,2.1528000000000005,1.7579999999999998,2.2066666666666666,2.1399999999999997,0.2232,2.0571428571428574,2.3925,3.22,2.5977777777777766,2.6288888888888886,2.6639999999999993,3.2727272727272725,3.002727272727272,2.8000000000000007,2.49,3.063076923076924,2.9953846153846153,0.21333333333333335,2.6400000000000006,2.816666666666667,2.7299999999999995,3.309375,2.66,3.12,2.97
0.966666666666667,1.9199999999999995,2.985,2.2164,2.1360000000000006,2.179999999999999,2.465714285714285,0.1826666666666667,2.1500000000000004,2.535,2.945,2.7066666666666674,2.6366666666666676,2.7744,2.9863636363636363,2.8963636363636374,2.899999999999999,2.715,2.6992307692307698,2.690769230769231,0.2053333333333334,2.6057142857142863,3.0159999999999996,2.946666666666667,2.971875,2.4,3.53,2.86
0.9399999999999998,1.9200000000000004,2.76,2.2584,1.8899999999999997,2.140000000000001,2.2885714285714283,0.20373333333333335,2.114285714285714,2.5425,2.62,2.551111111111111,2.6833333333333345,3.0304,3.1958181818181823,2.634545454545454,3.15,2.565,3.063076923076923,2.8599999999999994,0.18933333333333333,2.82,3.0159999999999996,2.7039999999999993,2.98125,2.07,3.28,3.38
0.9199999999999996,1.8533333333333337,2.125,2.1612000000000005,1.9980000000000004,2.2,2.3457142857142856,0.18720000000000003,2.135714285714286,2.385,2.225,2.4811111111111113,2.893333333333333,3.0639999999999996,3.1270909090909105,2.912727272727272,2.9333333333333336,3.055,2.8684615384615393,2.8684615384615393,0.1813333333333333,2.717142857142857,2.9293333333333327,2.686666666666667,2.934375,2.575,3.2,2.91
0.9500000000000002,2.0533333333333337,2.46,2.1635999999999997,2.1,2.233333333333334,2.4028571428571426,0.21093333333333333,2.185714285714286,2.37,2.845,2.395555555555557,2.574444444444445,2.8624000000000005,3.1418181818181825,2.9127272727272726,2.8,2.91,2.902307692307691,2.868461538461538,0.2005333333333333,2.8628571428571434,2.868666666666666,2.5133333333333328,3.225,2.495,3.21,3.31
